album_id,genre,image_tensor
0,0,"tensor([[[ 0.9646,  0.9474,  0.9646,  ..., -0.2342, -0.3027, -0.2513],
         [ 0.9988,  0.9474,  0.9474,  ..., -0.1828, -0.3027, -0.3027],
         [ 0.9817,  0.9474,  0.9817,  ..., -0.1486, -0.3198, -0.3198],
         ...,
         [ 1.7352,  1.7523,  1.7523,  ...,  0.0227,  0.0569,  0.2111],
         [ 1.7352,  1.7694,  1.7694,  ...,  0.0912,  0.1083,  0.2282],
         [ 1.7352,  1.7865,  1.7865,  ...,  0.1083,  0.1768,  0.2624]],

        [[-1.4930, -1.5105, -1.4930,  ..., -1.5805, -1.5805, -1.5455],
         [-1.4930, -1.5455, -1.5455,  ..., -1.5805, -1.6155, -1.5630],
         [-1.5280, -1.5630, -1.5455,  ..., -1.6155, -1.6331, -1.5455],
         ...,
         [-1.5280, -1.5980, -1.6506,  ..., -1.5980, -1.5980, -1.4405],
         [-1.5280, -1.5630, -1.6331,  ..., -1.5805, -1.5980, -1.4930],
         [-1.5280, -1.5630, -1.5980,  ..., -1.5805, -1.5630, -1.4755]],

        [[-1.3339, -1.3513, -1.3339,  ..., -1.4210, -1.4036, -1.3339],
         [-1.3164, -1.3687, -1.3687,  ..., -1.4036, -1.4210, -1.3513],
         [-1.3513, -1.3861, -1.3687,  ..., -1.4036, -1.4210, -1.3687],
         ...,
         [-1.3164, -1.3687, -1.4036,  ..., -1.4210, -1.4384, -1.2990],
         [-1.3164, -1.3513, -1.3861,  ..., -1.4210, -1.4384, -1.3513],
         [-1.3339, -1.3339, -1.3687,  ..., -1.4210, -1.4036, -1.3513]]])"
1,0,"tensor([[[-1.2274, -1.1589, -1.1075,  ..., -1.6042, -1.6042, -1.6042],
         [-1.2617, -1.2103, -1.1075,  ..., -1.5870, -1.5699, -1.5870],
         [-1.3302, -1.1589, -1.1075,  ..., -1.5870, -1.5357, -1.5870],
         ...,
         [-1.2103, -1.1418, -1.0562,  ...,  0.7933, -0.0116, -0.6965],
         [-1.2617, -1.2103, -1.1589,  ...,  0.8789,  0.1597, -0.5082],
         [-1.2617, -1.2959, -1.2788,  ...,  0.9646,  0.2111, -0.3883]],

        [[-0.6001, -0.5301, -0.4776,  ..., -1.1954, -1.1954, -1.1954],
         [-0.6352, -0.5826, -0.4601,  ..., -1.1779, -1.1604, -1.1779],
         [-0.6877, -0.5126, -0.4601,  ..., -1.1779, -1.1253, -1.1779],
         ...,
         [-0.8102, -0.7402, -0.6702,  ...,  0.9930,  0.1352, -0.5651],
         [-0.8803, -0.8102, -0.7577,  ...,  1.1331,  0.2927, -0.4426],
         [-0.8627, -0.8978, -0.8803,  ...,  1.2031,  0.3102, -0.4076]],

        [[-0.2184, -0.1661, -0.1487,  ..., -0.9678, -0.9678, -0.9678],
         [-0.2707, -0.2184, -0.1487,  ..., -0.9504, -0.9330, -0.9504],
         [-0.3404, -0.2010, -0.1661,  ..., -0.9504, -0.8981, -0.9504],
         ...,
         [-0.8807, -0.7936, -0.7238,  ...,  0.9319,  0.1999, -0.3927],
         [-0.8981, -0.8458, -0.7936,  ...,  1.0191,  0.3393, -0.2881],
         [-0.9156, -0.9504, -0.9330,  ...,  1.0539,  0.3219, -0.2707]]])"
2,1,"tensor([[[2.2489, 2.2489, 2.2489,  ..., 2.2489, 2.2489, 2.2489],
         [2.2489, 2.2489, 2.2489,  ..., 2.2489, 2.2489, 2.2489],
         [2.2489, 2.2489, 2.2489,  ..., 2.2489, 2.2489, 2.2489],
         ...,
         [2.2489, 2.2489, 2.2489,  ..., 2.2147, 2.2318, 2.2489],
         [2.2489, 2.2489, 2.2489,  ..., 2.2147, 2.2318, 2.2489],
         [2.2489, 2.2489, 2.2489,  ..., 2.2147, 2.2318, 2.2489]],

        [[2.4286, 2.4286, 2.4286,  ..., 2.4286, 2.4286, 2.4286],
         [2.4286, 2.4286, 2.4286,  ..., 2.4286, 2.4286, 2.4286],
         [2.4286, 2.4286, 2.4286,  ..., 2.4286, 2.4286, 2.4286],
         ...,
         [2.4286, 2.4286, 2.4286,  ..., 2.3936, 2.4111, 2.4286],
         [2.4286, 2.4286, 2.4286,  ..., 2.3936, 2.4111, 2.4286],
         [2.4286, 2.4286, 2.4286,  ..., 2.3936, 2.4111, 2.4286]],

        [[2.6400, 2.6400, 2.6400,  ..., 2.6400, 2.6400, 2.6400],
         [2.6400, 2.6400, 2.6400,  ..., 2.6400, 2.6400, 2.6400],
         [2.6400, 2.6400, 2.6400,  ..., 2.6400, 2.6400, 2.6400],
         ...,
         [2.6400, 2.6400, 2.6400,  ..., 2.6051, 2.6226, 2.6400],
         [2.6400, 2.6400, 2.6400,  ..., 2.6051, 2.6226, 2.6400],
         [2.6400, 2.6400, 2.6400,  ..., 2.6051, 2.6226, 2.6400]]])"
4,0,"tensor([[[-1.3644, -1.4500, -1.4672,  ..., -1.0048, -1.1760, -1.2617],
         [-1.2103, -1.3130, -1.3987,  ..., -1.0219, -1.1075, -1.1760],
         [-1.1247, -1.1760, -1.2617,  ..., -0.9020, -0.9534, -1.0048],
         ...,
         [ 1.4612,  0.9132,  1.1529,  ..., -0.0801, -0.1143, -0.1999],
         [ 1.3927,  1.2899,  1.2385,  ..., -0.1999, -0.2684, -0.2684],
         [ 1.1872,  1.2728,  1.5982,  ..., -0.3027, -0.2684, -0.2856]],

        [[-0.4076, -0.4951, -0.5126,  ...,  0.2052,  0.1001,  0.0476],
         [-0.2500, -0.3550, -0.4426,  ...,  0.1352,  0.1176,  0.0826],
         [-0.1450, -0.1975, -0.3025,  ...,  0.2227,  0.1877,  0.1527],
         ...,
         [ 1.1856,  0.6078,  0.8880,  ..., -0.5126, -0.5301, -0.6001],
         [ 1.0455,  0.9580,  0.9055,  ..., -0.6527, -0.6702, -0.6001],
         [ 0.8004,  0.8880,  1.2031,  ..., -0.7402, -0.6352, -0.5476]],

        [[ 0.9842,  0.9319,  0.9319,  ...,  1.3677,  1.2631,  1.2108],
         [ 1.1237,  1.0365,  0.9668,  ...,  1.3851,  1.3502,  1.2980],
         [ 1.1759,  1.1411,  1.0539,  ...,  1.4722,  1.4374,  1.3851],
         ...,
         [ 0.7228,  0.1302,  0.4265,  ..., -0.7413, -0.7238, -0.7413],
         [ 0.6008,  0.4439,  0.3568,  ..., -0.8633, -0.8807, -0.8110],
         [ 0.3393,  0.3219,  0.5659,  ..., -0.9156, -0.8458, -0.8284]]])"
6,4,"tensor([[[ 0.5022,  0.5193,  0.5022,  ...,  0.1939,  0.1768,  0.2111],
         [ 0.4851,  0.5364,  0.5364,  ...,  0.2111,  0.2453,  0.2624],
         [ 0.5364,  0.5193,  0.5364,  ...,  0.2796,  0.2624,  0.2453],
         ...,
         [ 0.8276,  0.8961,  0.9817,  ...,  0.0741,  0.0569, -0.1486],
         [ 0.7591,  0.8276,  0.8276,  ...,  0.0056, -0.0458, -0.1657],
         [ 0.6906,  0.6906,  0.6734,  ..., -0.1828, -0.2171, -0.2856]],

        [[-1.0728, -1.0553, -1.0728,  ..., -1.3529, -1.3704, -1.3354],
         [-1.0903, -1.0378, -1.0378,  ..., -1.3529, -1.3354, -1.3179],
         [-1.0378, -1.0553, -1.0378,  ..., -1.3354, -1.3529, -1.3704],
         ...,
         [-0.9853, -0.9153, -0.8627,  ..., -1.0903, -1.0553, -1.1954],
         [-0.9853, -0.9328, -0.9678,  ..., -1.0728, -1.1078, -1.1604],
         [-1.0378, -1.0553, -1.0903,  ..., -1.1954, -1.2129, -1.2304]],

        [[ 0.6356,  0.6531,  0.6356,  ...,  0.4439,  0.4265,  0.4614],
         [ 0.6182,  0.6705,  0.6705,  ...,  0.4439,  0.4614,  0.4962],
         [ 0.6705,  0.6531,  0.6705,  ...,  0.4788,  0.4788,  0.4439],
         ...,
         [-1.4210, -1.3513, -1.3164,  ..., -1.4559, -1.3687, -1.4384],
         [-1.4384, -1.3687, -1.3861,  ..., -1.3339, -1.2990, -1.2990],
         [-1.4733, -1.4907, -1.5081,  ..., -1.3687, -1.2990, -1.2816]]])"
7,0,"tensor([[[-1.2617, -1.2617, -1.2959,  ..., -1.3473, -1.3302, -1.3302],
         [-1.2445, -1.2617, -1.2788,  ..., -1.3644, -1.3302, -1.3473],
         [-1.3130, -1.3130, -1.3130,  ..., -1.4158, -1.3644, -1.3302],
         ...,
         [-1.2103, -1.2103, -1.2788,  ..., -1.2959, -1.2445, -1.2617],
         [-1.2445, -1.2617, -1.2617,  ..., -1.2959, -1.2445, -1.2617],
         [-1.2445, -1.2617, -1.2617,  ..., -1.2617, -1.2274, -1.2617]],

        [[-1.1604, -1.1604, -1.1954,  ..., -1.2479, -1.2304, -1.2304],
         [-1.1429, -1.1604, -1.1779,  ..., -1.2654, -1.2304, -1.2479],
         [-1.2129, -1.2129, -1.2129,  ..., -1.3179, -1.2654, -1.2304],
         ...,
         [-1.1078, -1.1078, -1.1779,  ..., -1.1954, -1.1429, -1.1604],
         [-1.1429, -1.1604, -1.1604,  ..., -1.1954, -1.1429, -1.1604],
         [-1.1429, -1.1604, -1.1604,  ..., -1.1604, -1.1253, -1.1604]],

        [[-0.9330, -0.9330, -0.9678,  ..., -1.0201, -1.0027, -1.0027],
         [-0.9156, -0.9330, -0.9504,  ..., -1.0376, -1.0027, -1.0201],
         [-0.9853, -0.9853, -0.9853,  ..., -1.0898, -1.0376, -1.0027],
         ...,
         [-0.8807, -0.8807, -0.9504,  ..., -0.9678, -0.9156, -0.9330],
         [-0.9156, -0.9330, -0.9330,  ..., -0.9678, -0.9156, -0.9330],
         [-0.9156, -0.9330, -0.9330,  ..., -0.9330, -0.8981, -0.9330]]])"
10,0,"tensor([[[2.0434, 2.0434, 2.0434,  ..., 2.0263, 2.0263, 2.0263],
         [2.0434, 2.0434, 2.0434,  ..., 2.0263, 2.0263, 2.0263],
         [2.0434, 2.0434, 2.0434,  ..., 2.0263, 2.0263, 2.0263],
         ...,
         [1.9407, 1.9407, 1.9407,  ..., 1.9407, 1.9407, 1.9407],
         [1.9407, 1.9407, 1.9407,  ..., 1.9407, 1.9407, 1.9407],
         [1.9407, 1.9407, 1.9407,  ..., 1.9407, 1.9407, 1.9407]],

        [[2.1835, 2.1835, 2.1835,  ..., 2.1660, 2.1660, 2.1660],
         [2.1835, 2.1835, 2.1835,  ..., 2.1660, 2.1660, 2.1660],
         [2.1835, 2.1835, 2.1835,  ..., 2.1660, 2.1660, 2.1660],
         ...,
         [2.1134, 2.1134, 2.1134,  ..., 2.1134, 2.1134, 2.1134],
         [2.1134, 2.1134, 2.1134,  ..., 2.1134, 2.1134, 2.1134],
         [2.1134, 2.1134, 2.1134,  ..., 2.1134, 2.1134, 2.1134]],

        [[2.4483, 2.4483, 2.4483,  ..., 2.4308, 2.4308, 2.4308],
         [2.4483, 2.4483, 2.4483,  ..., 2.4308, 2.4308, 2.4308],
         [2.4483, 2.4483, 2.4483,  ..., 2.4308, 2.4308, 2.4308],
         ...,
         [2.3263, 2.3263, 2.3263,  ..., 2.3263, 2.3263, 2.3263],
         [2.3263, 2.3263, 2.3263,  ..., 2.3263, 2.3263, 2.3263],
         [2.3263, 2.3263, 2.3263,  ..., 2.3263, 2.3263, 2.3263]]])"
12,1,"tensor([[[2.2147, 2.2147, 2.2147,  ..., 2.2147, 2.2147, 2.2147],
         [2.1975, 2.1975, 2.1975,  ..., 2.2147, 2.2147, 2.2147],
         [2.1975, 2.1804, 2.1804,  ..., 2.2147, 2.2147, 2.2147],
         ...,
         [2.1290, 2.1290, 2.1633,  ..., 2.2147, 2.1804, 2.1633],
         [2.1633, 2.1633, 2.1633,  ..., 2.2147, 2.1804, 2.1462],
         [2.1462, 2.1290, 2.1290,  ..., 2.2147, 2.1804, 2.1462]],

        [[2.3761, 2.3761, 2.3761,  ..., 2.3761, 2.3761, 2.3761],
         [2.3585, 2.3585, 2.3585,  ..., 2.3761, 2.3761, 2.3761],
         [2.3585, 2.3410, 2.3410,  ..., 2.3761, 2.3761, 2.3761],
         ...,
         [2.2710, 2.2710, 2.3060,  ..., 2.3761, 2.3410, 2.3235],
         [2.3060, 2.3060, 2.3060,  ..., 2.3761, 2.3410, 2.3060],
         [2.2885, 2.2710, 2.2710,  ..., 2.3761, 2.3410, 2.3060]],

        [[2.5529, 2.5529, 2.5529,  ..., 2.5529, 2.5529, 2.5529],
         [2.5354, 2.5354, 2.5354,  ..., 2.5529, 2.5529, 2.5529],
         [2.5354, 2.5180, 2.5180,  ..., 2.5529, 2.5529, 2.5529],
         ...,
         [2.5006, 2.5006, 2.5354,  ..., 2.5529, 2.5180, 2.5006],
         [2.5354, 2.5354, 2.5354,  ..., 2.5529, 2.5180, 2.4831],
         [2.5180, 2.5006, 2.5006,  ..., 2.5529, 2.5180, 2.4831]]])"
14,0,"tensor([[[-1.9638, -1.9638, -1.9638,  ..., -1.9638, -1.9638, -1.9638],
         [-1.9638, -1.9638, -1.9638,  ..., -1.9638, -1.9638, -1.9638],
         [-1.9638, -1.9638, -1.9638,  ..., -1.9638, -1.9638, -1.9638],
         ...,
         [-1.9638, -1.9638, -1.9638,  ..., -1.9638, -1.9638, -1.9638],
         [-1.9638, -1.9638, -1.9638,  ..., -1.9638, -1.9638, -1.9638],
         [-1.9638, -1.9638, -1.9638,  ..., -1.9638, -1.9638, -1.9638]],

        [[-1.8782, -1.8782, -1.8782,  ..., -1.8782, -1.8782, -1.8782],
         [-1.8782, -1.8782, -1.8782,  ..., -1.8782, -1.8782, -1.8782],
         [-1.8782, -1.8782, -1.8782,  ..., -1.8782, -1.8782, -1.8782],
         ...,
         [-1.8782, -1.8782, -1.8782,  ..., -1.8782, -1.8782, -1.8782],
         [-1.8782, -1.8782, -1.8782,  ..., -1.8782, -1.8782, -1.8782],
         [-1.8782, -1.8782, -1.8782,  ..., -1.8782, -1.8782, -1.8782]],

        [[-1.6476, -1.6476, -1.6476,  ..., -1.6476, -1.6476, -1.6476],
         [-1.6476, -1.6476, -1.6476,  ..., -1.6476, -1.6476, -1.6476],
         [-1.6476, -1.6476, -1.6476,  ..., -1.6476, -1.6476, -1.6476],
         ...,
         [-1.6476, -1.6476, -1.6476,  ..., -1.6476, -1.6476, -1.6476],
         [-1.6476, -1.6476, -1.6476,  ..., -1.6476, -1.6476, -1.6476],
         [-1.6476, -1.6476, -1.6476,  ..., -1.6476, -1.6476, -1.6476]]])"
15,1,"tensor([[[-1.8097, -1.8097, -1.8097,  ..., -1.2617, -1.2274, -1.2445],
         [-1.8097, -1.8097, -1.8097,  ..., -1.2445, -1.2274, -1.2445],
         [-1.8097, -1.8097, -1.8097,  ..., -1.2274, -1.2103, -1.2274],
         ...,
         [-1.5357, -1.5528, -1.5528,  ..., -1.7240, -1.7069, -1.7069],
         [-1.5528, -1.5699, -1.6042,  ..., -1.7069, -1.7069, -1.6727],
         [-1.5357, -1.5528, -1.6042,  ..., -1.6898, -1.6727, -1.6555]],

        [[-1.9307, -1.9307, -1.9307,  ..., -1.5455, -1.5280, -1.5455],
         [-1.9307, -1.9307, -1.9307,  ..., -1.5280, -1.5105, -1.5455],
         [-1.9307, -1.9307, -1.9307,  ..., -1.5455, -1.5280, -1.5455],
         ...,
         [-1.2654, -1.3354, -1.3704,  ..., -1.8431, -1.8431, -1.8256],
         [-1.3004, -1.3354, -1.3880,  ..., -1.8431, -1.8431, -1.8081],
         [-1.2829, -1.3004, -1.3704,  ..., -1.8431, -1.8256, -1.8081]],

        [[-1.6999, -1.6999, -1.6999,  ..., -1.0898, -1.0376, -1.0376],
         [-1.6999, -1.6999, -1.6999,  ..., -1.0898, -1.0550, -1.0550],
         [-1.6999, -1.6999, -1.6999,  ..., -1.1073, -1.0724, -1.0724],
         ...,
         [-0.2532, -0.3404, -0.4624,  ..., -1.5256, -1.5256, -1.5081],
         [-0.3230, -0.3927, -0.4798,  ..., -1.4733, -1.4559, -1.4384],
         [-0.3578, -0.3927, -0.4973,  ..., -1.4036, -1.3861, -1.3687]]])"
